n,mean,sample_variance
1,-0.029965134189274746,2.091817851204833
2,-0.0008713611985049251,1.1551069299121537
4,-0.0006271971694527133,0.6925733396918556
8,0.011695945993524371,0.44210284583674986
16,0.010540128539295947,0.3112759037690604
32,-0.0023685588512992635,0.22564727550298846
